backend,total_blocks,image_size_kb,rep,metric,value
row,4096,16384,4,write_during_snap_per_block_us,32.82885092212693
row,4096,16384,4,num_writes,409
row,4096,16384,4,delta_block_count,409
row,4096,16384,4,discard_us,1230.1248498260975
row,4096,16384,4,commit_us,12719.291960820556
row,4096,16384,5,snapshot_create_us,1480.4999809712172
row,4096,16384,5,write_during_snap_total_us,12340.540997684002
row,4096,16384,5,write_during_snap_per_block_us,30.172471876978
row,4096,16384,5,num_writes,409
row,4096,16384,5,delta_block_count,409
row,4096,16384,5,discard_us,1315.1250313967466
row,4096,16384,5,commit_us,12362.665962427855
row,4096,16384,6,snapshot_create_us,1151.0830372571945
row,4096,16384,6,write_during_snap_total_us,12484.415899962187
row,4096,16384,6,write_during_snap_per_block_us,30.524244254186275
row,4096,16384,6,num_writes,409
row,4096,16384,6,delta_block_count,409
row,4096,16384,6,discard_us,1246.9999492168427
row,4096,16384,6,commit_us,12468.12497265637
row,4096,16384,7,snapshot_create_us,2029.1248802095652
row,4096,16384,7,write_during_snap_total_us,14214.58413824439
row,4096,16384,7,write_during_snap_per_block_us,34.754484445585305
row,4096,16384,7,num_writes,409
row,4096,16384,7,delta_block_count,409
row,4096,16384,7,discard_us,1248.4579347074032
row,4096,16384,7,commit_us,12146.332999691367
row,4096,16384,8,snapshot_create_us,1152.2499844431877
row,4096,16384,8,write_during_snap_total_us,15371.875138953328
row,4096,16384,8,write_during_snap_per_block_us,37.58404679450692
row,4096,16384,8,num_writes,409
row,4096,16384,8,delta_block_count,409
row,4096,16384,8,discard_us,1334.5410116016865
row,4096,16384,8,commit_us,12460.917001590133
row,4096,16384,9,snapshot_create_us,1914.2921082675457
row,4096,16384,9,write_during_snap_total_us,10939.874919131398
row,4096,16384,9,write_during_snap_per_block_us,26.74786043797408
row,4096,16384,9,num_writes,409
row,4096,16384,9,delta_block_count,409
row,4096,16384,9,discard_us,1265.2080040425062
row,4096,16384,9,commit_us,11848.666938021779
row,4096,16384,10,snapshot_create_us,1491.582952439785
row,4096,16384,10,write_during_snap_total_us,11837.499914690852
row,4096,16384,10,write_during_snap_per_block_us,28.94254257870624
row,4096,16384,10,num_writes,409
row,4096,16384,10,delta_block_count,409
row,4096,16384,10,discard_us,1295.4170815646648
row,4096,16384,10,commit_us,12333.292048424482
row,16384,65536,1,snapshot_create_us,156.74997121095657
row,16384,65536,1,write_during_snap_total_us,5852.750036865473
row,16384,65536,1,write_during_snap_per_block_us,3.573107470613842
row,16384,65536,1,num_writes,1638
row,16384,65536,1,delta_block_count,1638
row,16384,65536,1,discard_us,4972.666967660189
row,16384,65536,1,commit_us,48325.58403722942
row,16384,65536,2,snapshot_create_us,160.58306209743023
row,16384,65536,2,write_during_snap_total_us,5943.457828834653
row,16384,65536,2,write_during_snap_per_block_us,3.628484632988189
row,16384,65536,2,num_writes,1638
row,16384,65536,2,delta_block_count,1638
row,16384,65536,2,discard_us,4740.749951452017
row,16384,65536,2,commit_us,48129.41700220108
row,16384,65536,3,snapshot_create_us,178.12498845160007
row,16384,65536,3,write_during_snap_total_us,5791.040835902095
row,16384,65536,3,write_during_snap_per_block_us,3.5354339657521945
row,16384,65536,3,num_writes,1638
row,16384,65536,3,delta_block_count,1638
row,16384,65536,3,discard_us,4564.167000353336
row,16384,65536,3,commit_us,48841.207986697555
row,16384,65536,4,snapshot_create_us,160.20797193050385
row,16384,65536,4,write_during_snap_total_us,5979.791050776839
row,16384,65536,4,write_during_snap_per_block_us,3.6506660871653476
row,16384,65536,4,num_writes,1638
row,16384,65536,4,delta_block_count,1638
row,16384,65536,4,discard_us,4565.833834931254
row,16384,65536,4,commit_us,48434.667056426406
row,16384,65536,5,snapshot_create_us,172.58408479392529
row,16384,65536,5,write_during_snap_total_us,5882.167024537921
row,16384,65536,5,write_during_snap_per_block_us,3.5910665595469604
row,16384,65536,5,num_writes,1638
row,16384,65536,5,delta_block_count,1638
row,16384,65536,5,discard_us,4555.708030238748
row,16384,65536,5,commit_us,48298.874869942665
row,16384,65536,6,snapshot_create_us,180.5839128792286
row,16384,65536,6,write_during_snap_total_us,5885.791964828968
row,16384,65536,6,write_during_snap_per_block_us,3.5932795878076726
row,16384,65536,6,num_writes,1638
row,16384,65536,6,delta_block_count,1638
row,16384,65536,6,discard_us,4570.874851197004
row,16384,65536,6,commit_us,49097.750103101134
row,16384,65536,7,snapshot_create_us,161.9590912014246
row,16384,65536,7,write_during_snap_total_us,6071.0839461535215
row,16384,65536,7,write_during_snap_per_block_us,3.7064004555271803
row,16384,65536,7,num_writes,1638
row,16384,65536,7,delta_block_count,1638
row,16384,65536,7,discard_us,5437.749903649092
row,16384,65536,7,commit_us,48969.91699934006
row,16384,65536,8,snapshot_create_us,177.6660792529583
row,16384,65536,8,write_during_snap_total_us,6017.0418582856655
row,16384,65536,8,write_during_snap_per_block_us,3.6734077278911266
row,16384,65536,8,num_writes,1638
row,16384,65536,8,delta_block_count,1638
row,16384,65536,8,discard_us,4929.958842694759
row,16384,65536,8,commit_us,49448.625184595585
row,16384,65536,9,snapshot_create_us,165.74980691075325
row,16384,65536,9,write_during_snap_total_us,6437.333067879081
row,16384,65536,9,write_during_snap_per_block_us,3.9299957679359467
row,16384,65536,9,num_writes,1638
row,16384,65536,9,delta_block_count,1638
row,16384,65536,9,discard_us,5193.499848246574
row,16384,65536,9,commit_us,49180.832924321294
row,16384,65536,10,snapshot_create_us,199.33306612074375
row,16384,65536,10,write_during_snap_total_us,5694.125080481172
row,16384,65536,10,write_during_snap_per_block_us,3.476266837900593
row,16384,65536,10,num_writes,1638
row,16384,65536,10,delta_block_count,1638
row,16384,65536,10,discard_us,4462.166922166944
row,16384,65536,10,commit_us,48295.6669293344
cow,64,256,1,snapshot_create_us,118.66586282849312
cow,64,256,1,write_during_snap_total_us,315.1248674839735
cow,64,256,1,write_during_snap_per_block_us,52.520811247328915
cow,64,256,1,num_writes,6
cow,64,256,1,delta_block_count,6
